repeticao,vazao_mib_s
1,9673.519
2,8922.970
3,9031.894
4,8514.601
5,9210.621
6,9196.724
7,9739.025
8,8959.821
9,9021.708
10,9255.242
11,9330.806
12,9042.741
13,8757.526
14,9262.609
15,8786.381
16,9105.136
17,8918.618
18,8229.923
19,9330.126
20,8280.502
21,8648.064
22,9071.580
23,8585.994
24,8891.359
25,9489.213
26,6836.146
27,8762.922
28,9322.651
29,9977.395
30,9343.066
