repeticao,vazao_mib_s
1,392.941
2,8424.933
3,8723.580
4,8716.377
5,8753.184
6,8946.904
7,8929.116
8,8676.790
9,8999.112
10,8789.549
11,8898.544
12,8755.804
13,8877.869
14,8990.185
15,8668.049
16,8780.956
17,8971.281
18,8792.417
19,8673.042
20,8760.373
21,9011.070
22,8888.812
23,8836.956
24,8959.742
25,8985.924
26,7745.078
27,8765.472
28,6974.574
29,9023.855
30,8869.333
